,dataset,label,count
125,DevProso,BA_exvivo,82
126,DevProso,rh.FG4,82
127,DevProso,BA_exvivo.thresh,82
128,DevProso,aparc.annot.DKTatlas,82
129,DevProso,aparc.annot.a2009s,82
130,DevProso,rh.MFS,82
131,DevProso,aparc.annot,82
132,DevProso,rh.OTS,82
133,DevProso,rh.aparc.DKTatlas,82
134,DevProso,lh.BA_exvivo,82
135,DevProso,lh.BA_exvivo.thresh,82
136,DevProso,lh.prcus2,82
137,DevProso,lh.CoS,82
138,DevProso,lh.DP_VTC,82
139,DevProso,lh.prcus1,82
140,DevProso,lh.FG1,82
141,DevProso,rh.pmc_y,35
142,DevProso,lh.FG12,82
143,DevProso,lh.prculs,82
144,DevProso,lh.FG2,82
145,DevProso,lh.MCGS,82
146,DevProso,lh.FG3,82
147,DevProso,lh.pmc_y,31
148,DevProso,lh.FG4,82
149,DevProso,rh.sbps,82
150,DevProso,lh.MFS,82
151,DevProso,lh.POS,82
152,DevProso,lh.OTS,82
153,DevProso,rh.BA_exvivo,82
154,DevProso,rh.FGall,82
155,DevProso,rh.BA_exvivo.thresh,82
156,DevProso,rh.CoS,82
157,DevProso,rh.MCGS,82
158,DevProso,lh.aparc.DKTatlas,82
159,DevProso,lh.sbps,82
160,DevProso,lh.mfs_vtc,1
161,DevProso,lh.pmc_x,66
162,DevProso,rh.DP_VTC,82
163,DevProso,rh.FG1,82
164,DevProso,lh.spls,82
165,DevProso,lh.FFA_1234,1
166,DevProso,rh.FG12,82
167,DevProso,lh.mFUS,44
168,DevProso,lh.G_cingul-Post-dorsal,82
169,DevProso,rh.FG2,82
170,DevProso,lh.pFUS,35
171,DevProso,lh.FGall,82
172,DevProso,lh.prcus3,82
173,DevProso,rh.prcus1,82
174,DevProso,rh.prcus2,82
175,DevProso,rh.prcus3,82
176,DevProso,lh.CS,57
177,DevProso,rh.prculs,82
178,DevProso,lh.iprs,20
179,DevProso,lh.sprs,20
180,DevProso,lh.pmfs-p,20
181,DevProso,lh.sfs-p,20
182,DevProso,lh.pmfs-i,20
183,DevProso,l.infs-h,1
184,DevProso,lh.sfs-a,20
185,DevProso,lh.pmfs-a,20
186,DevProso,lh.painfs-d,18
187,DevProso,lh.ifs,20
188,DevProso,lh.ds,20
189,DevProso,lh.ascs,16
190,DevProso,lh.aalf,20
191,DevProso,lh.half,20
192,DevProso,lh.LF,57
193,DevProso,lh.prts,20
194,DevProso,lh.lmfs,3
195,DevProso,lh.ts,20
196,DevProso,lh.painfs-v,16
197,DevProso,lh.ifms,20
198,DevProso,lh.mfms,20
199,DevProso,lh.infs-v,20
200,DevProso,lh.acsfs,4
201,DevProso,rh.CS,56
202,DevProso,rh.iprs,18
203,DevProso,rh.ascs,18
204,DevProso,rh.pmfs-p,20
205,DevProso,rh.pmfs-i,20
206,DevProso,rh.pmfs-a,20
207,DevProso,rh.sprs,20
208,DevProso,rh.sfs-p,20
209,DevProso,rh.sfs-a,19
210,DevProso,rh.ifs,20
211,DevProso,rh.painfs-d,17
212,DevProso,rh.ts,19
213,DevProso,rh.ds,20
214,DevProso,rh.aalf,20
215,DevProso,rh.half,20
216,DevProso,rh.prts,20
217,DevProso,rh.infs-h,20
218,DevProso,rh.infs-v,20
219,DevProso,rh.mfms,20
220,DevProso,rh.ifms,20
221,DevProso,rh.lfms,20
222,DevProso,rh.POS,82
223,DevProso,lh.G_cingul-Post-ventral,82
224,DevProso,lh.G_cuneus,82
225,DevProso,lh.G_front_inf-Opercular,82
226,DevProso,lh.G_front_inf-Orbital,82
227,DevProso,lh.G_front_inf-Triangul,82
228,DevProso,lh.G_front_middle,82
229,DevProso,lh.G_front_sup,82
230,DevProso,lh.G_Ins_lg&S_cent_ins,82
231,DevProso,lh.G_insular_short,82
232,DevProso,lh.G_occipital_middle,82
233,DevProso,lh.G_occipital_sup,82
234,DevProso,lh.G_oc-temp_lat-fusifor,82
235,DevProso,lh.G_oc-temp_med-Lingual,82
236,DevProso,lh.G_oc-temp_med-Parahip,82
237,DevProso,lh.G_orbital,82
238,DevProso,lh.G_parietal_sup,82
239,DevProso,lh.G_pariet_inf-Angular,82
240,DevProso,lh.G_pariet_inf-Supramar,82
241,DevProso,lh.G_postcentral,82
242,DevProso,lh.G_precentral,82
243,DevProso,lh.G_precuneus,82
244,DevProso,lh.G_rectus,82
245,DevProso,lh.G&S_cingul-Ant,82
246,DevProso,lh.G&S_cingul-Mid-Ant,82
247,DevProso,lh.G&S_cingul-Mid-Post,82
248,DevProso,lh.G&S_frontomargin,82
249,DevProso,lh.G&S_occipital_inf,82
250,DevProso,lh.G&S_paracentral,82
251,DevProso,lh.G&S_subcentral,82
252,DevProso,lh.G&S_transv_frontopol,82
253,DevProso,lh.G_subcallosal,82
254,DevProso,lh.G_temporal_inf,82
255,DevProso,lh.G_temporal_middle,82
256,DevProso,lh.G_temp_sup-G_T_transv,82
257,DevProso,lh.G_temp_sup-Lateral,82
258,DevProso,lh.G_temp_sup-Plan_polar,82
259,DevProso,lh.G_temp_sup-Plan_tempo,82
260,DevProso,lh.Lat_Fis-ant-Horizont,82
261,DevProso,lh.Lat_Fis-ant-Vertical,82
262,DevProso,lh.Lat_Fis-post,82
263,DevProso,lh.Pole_occipital,82
264,DevProso,lh.Pole_temporal,82
265,DevProso,lh.S_calcarine,82
266,DevProso,lh.S_central,82
267,DevProso,lh.S_cingul-Marginalis,82
268,DevProso,lh.S_circular_insula_ant,82
